index,time,cpu,memory
1,2019-08-04 09:23:01,1.4,41.6
2,2019-08-04 09:23:32,1.5,41.4
3,2019-08-04 09:24:03,1.4,41.4
4,2019-08-04 09:24:34,1.9,41.4
5,2019-08-04 09:25:05,1.8,41.4
6,2019-08-04 09:25:36,14.2,41.8
7,2019-08-04 09:26:07,8.6,42.6
8,2019-08-04 09:26:38,21.3,44.6
9,2019-08-04 09:27:09,22.6,46.3
10,2019-08-04 09:27:40,7.7,46.1
1,2019-08-04 09:28:11,6.3,46.5
2,2019-08-04 09:28:42,5.7,44.9
3,2019-08-04 09:29:13,6.5,44.7
4,2019-08-04 09:29:44,4.4,44.7
5,2019-08-04 09:30:15,7.3,44.8
6,2019-08-04 09:30:46,4,44.6
7,2019-08-04 09:31:17,4.9,44.6
8,2019-08-04 09:31:48,4.8,44.7
9,2019-08-04 09:32:19,5.8,45
10,2019-08-04 09:32:50,6.5,44.8
1,2019-08-04 09:33:21,6.8,44.7
2,2019-08-04 09:33:52,5.7,44.7
3,2019-08-04 09:34:24,5.9,44.7
4,2019-08-04 09:34:55,5.5,44.7
5,2019-08-04 09:35:26,5.2,44.8
6,2019-08-04 09:35:57,4.2,44.9
7,2019-08-04 09:36:28,6.9,44.7
8,2019-08-04 09:36:59,5.3,44.8
9,2019-08-04 09:37:30,19.7,45.4
10,2019-08-04 09:38:01,33.8,47.3
1,2019-08-04 09:38:32,17.3,47
2,2019-08-04 09:39:03,35.7,48.4
3,2019-08-04 09:39:34,18.1,48.7
4,2019-08-04 09:40:05,6.9,45.1
5,2019-08-04 09:40:36,6.5,45.2
6,2019-08-04 09:41:07,9.9,44.5
7,2019-08-04 09:41:38,11.9,46
8,2019-08-04 09:42:09,6.5,45.7
9,2019-08-04 09:42:40,6.2,45.5
10,2019-08-04 09:43:11,12.5,45.5
1,2019-08-04 09:43:42,11.1,45.6
2,2019-08-04 09:44:13,6.4,45.7
3,2019-08-04 09:44:44,6.5,45.7
4,2019-08-04 09:45:15,7.1,45.6
5,2019-08-04 09:45:46,5.9,45.6
6,2019-08-04 09:46:17,5.9,45.8
7,2019-08-04 09:46:48,6.1,45.9
8,2019-08-04 09:47:19,5.5,46.1
9,2019-08-04 09:47:50,11.8,45.7
10,2019-08-04 09:48:21,6.4,45.8
1,2019-08-04 09:48:52,13.7,45.9
2,2019-08-04 09:49:23,6,46
3,2019-08-04 09:49:54,6.6,46.1
4,2019-08-04 09:50:25,6.2,46
5,2019-08-04 09:50:56,5.9,46.1
6,2019-08-04 09:51:27,5.8,46.2
7,2019-08-04 09:51:58,5.4,46.2
8,2019-08-04 09:52:29,6.9,46.3
9,2019-08-04 09:53:00,5.5,46.3
10,2019-08-04 09:53:31,7.7,46.1
1,2019-08-04 09:54:02,5.7,46.2
2,2019-08-04 09:54:33,9.7,45.5
3,2019-08-04 09:55:05,5.9,45.5
4,2019-08-04 09:55:36,7,45.6
5,2019-08-04 09:56:07,5.8,45.4
6,2019-08-04 09:56:38,7.7,45.4
7,2019-08-04 09:57:09,5.9,45.7
8,2019-08-04 09:57:40,6.9,45.5
9,2019-08-04 09:58:11,13.6,45.7
10,2019-08-04 09:58:42,8.3,45.7
1,2019-08-04 09:59:13,6.3,45.5
2,2019-08-04 09:59:44,7.3,45.7
3,2019-08-04 10:00:15,6.3,45.7
4,2019-08-04 10:00:46,7.3,45.7
5,2019-08-04 10:01:17,4.9,45.7
6,2019-08-04 10:01:48,6.6,45.6
7,2019-08-04 10:02:19,5.2,45.9
8,2019-08-04 10:02:50,7.7,45.8
9,2019-08-04 10:03:21,6.5,45.8
10,2019-08-04 10:03:52,8.8,46
1,2019-08-04 10:04:23,6.8,45.9
2,2019-08-04 10:04:54,7.3,45.8
3,2019-08-04 10:05:25,6.5,45.8
4,2019-08-04 10:05:56,7,45.6
5,2019-08-04 10:06:27,5.4,45.6
6,2019-08-04 10:06:58,9.1,45.7
7,2019-08-04 10:07:29,6.2,45.7
8,2019-08-04 10:08:00,6.4,45.5
9,2019-08-04 10:08:31,6.2,45.5
10,2019-08-04 10:09:02,6.1,45.6
1,2019-08-04 10:09:33,5.5,45.7
2,2019-08-04 10:10:04,8.4,45.7
3,2019-08-04 10:10:35,6.9,45.6
4,2019-08-04 10:11:06,6.9,45.7
5,2019-08-04 10:11:37,6.6,45.8
6,2019-08-04 10:12:08,6.1,45.8
7,2019-08-04 10:12:39,6.6,45.9
8,2019-08-04 10:13:10,5.9,45.6
9,2019-08-04 10:13:41,7,45.8
10,2019-08-04 10:14:12,5.7,45.9
